https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1618014960000,2021-04-10 00:36:00,BTC/USDT,58007.38000000,58007.39000000,57960.33000000,57985.69000000,20.94507500,1214353.24017018,713
1618014900000,2021-04-10 00:35:00,BTC/USDT,57982.35000000,58050.00000000,57982.34000000,58007.39000000,26.51585700,1538312.56607033,1740
1618014840000,2021-04-10 00:34:00,BTC/USDT,58023.36000000,58035.17000000,57974.45000000,57982.35000000,45.05256900,2613155.32817303,1705
1618014780000,2021-04-10 00:33:00,BTC/USDT,58051.02000000,58052.88000000,58022.91000000,58023.35000000,17.54911800,1018493.81304707,1207
1618014720000,2021-04-10 00:32:00,BTC/USDT,58081.62000000,58081.63000000,58050.73000000,58051.02000000,20.68927300,1201249.19437956,1356
1618014660000,2021-04-10 00:31:00,BTC/USDT,58103.12000000,58113.47000000,58076.30000000,58081.62000000,23.02600100,1337797.63512538,1610
1618014600000,2021-04-10 00:30:00,BTC/USDT,58113.56000000,58125.29000000,58103.11000000,58103.12000000,16.86629700,980240.68530789,1217
1618014540000,2021-04-10 00:29:00,BTC/USDT,58127.55000000,58127.55000000,58107.17000000,58113.55000000,16.00980600,930413.00297606,1649
1618014480000,2021-04-10 00:28:00,BTC/USDT,58133.57000000,58136.53000000,58105.35000000,58127.54000000,23.19285100,1348132.97564692,1143
1618014420000,2021-04-10 00:27:00,BTC/USDT,58170.03000000,58184.84000000,58133.57000000,58133.58000000,18.33926000,1066670.14798904,1455
1618014360000,2021-04-10 00:26:00,BTC/USDT,58151.19000000,58178.75000000,58139.56000000,58172.16000000,15.18599400,883262.43251584,1155
1618014300000,2021-04-10 00:25:00,BTC/USDT,58187.03000000,58187.03000000,58140.98000000,58151.19000000,22.71096100,1321032.60562468,1339
1618014240000,2021-04-10 00:24:00,BTC/USDT,58178.84000000,58188.69000000,58178.84000000,58187.02000000,16.42922000,955904.27625914,1191
1618014180000,2021-04-10 00:23:00,BTC/USDT,58178.28000000,58184.35000000,58151.84000000,58178.85000000,20.21765200,1176209.70484596,1803
1618014120000,2021-04-10 00:22:00,BTC/USDT,58121.89000000,58184.60000000,58121.88000000,58178.28000000,19.53192100,1135677.83465603,1151
1618014060000,2021-04-10 00:21:00,BTC/USDT,58168.56000000,58168.56000000,58121.87000000,58121.89000000,29.20522500,1697816.07077673,1508
1618014000000,2021-04-10 00:20:00,BTC/USDT,58200.00000000,58207.29000000,58168.55000000,58168.55000000,16.34281400,951015.99980864,1284
1618013940000,2021-04-10 00:19:00,BTC/USDT,58183.56000000,58200.00000000,58180.05000000,58199.99000000,20.69855200,1204375.69548556,1630
1618013880000,2021-04-10 00:18:00,BTC/USDT,58216.41000000,58225.39000000,58183.56000000,58183.56000000,16.95979000,987153.15357111,1167
1618013820000,2021-04-10 00:17:00,BTC/USDT,58244.19000000,58244.19000000,58201.99000000,58216.40000000,20.22117100,1177281.24113847,1566
1618013760000,2021-04-10 00:16:00,BTC/USDT,58229.99000000,58246.53000000,58229.98000000,58244.19000000,14.71674500,857127.51432527,1110
1618013700000,2021-04-10 00:15:00,BTC/USDT,58289.55000000,58298.34000000,58214.33000000,58229.99000000,53.51787900,3117391.57175959,2482
1618013640000,2021-04-10 00:14:00,BTC/USDT,58284.75000000,58327.90000000,58275.02000000,58289.55000000,41.54393100,2421800.15262001,1864
1618013580000,2021-04-10 00:13:00,BTC/USDT,58268.25000000,58292.30000000,58261.08000000,58284.75000000,45.30266100,2640033.06201155,1654
1618013520000,2021-04-10 00:12:00,BTC/USDT,58263.00000000,58268.26000000,58257.29000000,58268.26000000,13.02287500,758761.96048642,993
1618013460000,2021-04-10 00:11:00,BTC/USDT,58267.67000000,58269.30000000,58236.05000000,58263.00000000,35.41460700,2063191.11144320,1872
1618013400000,2021-04-10 00:10:00,BTC/USDT,58218.36000000,58267.68000000,58216.99000000,58267.67000000,24.23922300,1411871.21585318,1498
1618013340000,2021-04-10 00:09:00,BTC/USDT,58189.63000000,58225.25000000,58178.00000000,58218.37000000,34.62805800,2015324.19108911,1905
1618013280000,2021-04-10 00:08:00,BTC/USDT,58166.56000000,58189.64000000,58146.56000000,58189.64000000,28.35726700,1649613.21808935,1534
1618013220000,2021-04-10 00:07:00,BTC/USDT,58090.95000000,58166.57000000,58090.95000000,58166.56000000,43.74801800,2542705.37490596,1973
1618013160000,2021-04-10 00:06:00,BTC/USDT,58116.08000000,58117.31000000,58075.99000000,58090.96000000,21.82713400,1268077.96433336,1491
1618013100000,2021-04-10 00:05:00,BTC/USDT,58085.94000000,58116.09000000,58074.53000000,58116.08000000,26.88150000,1561764.32402835,1933
1618013040000,2021-04-10 00:04:00,BTC/USDT,58120.76000000,58120.76000000,58079.38000000,58085.95000000,23.90025100,1388669.32832256,1495
1618012980000,2021-04-10 00:03:00,BTC/USDT,58119.35000000,58129.74000000,58110.58000000,58120.75000000,19.66407000,1142866.07887902,1483
1618012920000,2021-04-10 00:02:00,BTC/USDT,58155.55000000,58155.56000000,58090.42000000,58119.35000000,41.09130400,2388159.04761213,1709
1618012860000,2021-04-10 00:01:00,BTC/USDT,58154.27000000,58156.50000000,58141.72000000,58155.55000000,23.07580200,1341829.58867340,1578
1618012800000,2021-04-10 00:00:00,BTC/USDT,58142.55000000,58193.27000000,58133.80000000,58154.26000000,47.15809700,2742715.70865190,1982
1618012740000,2021-04-09 23:59:00,BTC/USDT,58135.53000000,58142.55000000,58110.41000000,58142.54000000,25.80003800,1499617.07127792,1085
1618012680000,2021-04-09 23:58:00,BTC/USDT,58123.78000000,58135.53000000,58099.17000000,58135.53000000,22.73670900,1321399.90231549,804
1618012620000,2021-04-09 23:57:00,BTC/USDT,58120.07000000,58137.10000000,58109.02000000,58123.77000000,26.47335500,1538777.01373305,934
1618012560000,2021-04-09 23:56:00,BTC/USDT,58130.09000000,58130.10000000,58100.29000000,58120.08000000,13.89383300,807507.35357499,671
1618012500000,2021-04-09 23:55:00,BTC/USDT,58158.70000000,58160.65000000,58077.45000000,58130.10000000,26.19720700,1522734.78877647,1063
1618012440000,2021-04-09 23:54:00,BTC/USDT,58139.61000000,58168.45000000,58139.61000000,58158.71000000,22.80540700,1326293.35885135,773
1618012380000,2021-04-09 23:53:00,BTC/USDT,58165.28000000,58165.28000000,58133.20000000,58139.62000000,15.97138800,928605.49944720,766
1618012320000,2021-04-09 23:52:00,BTC/USDT,58163.08000000,58165.28000000,58150.00000000,58165.27000000,18.38220300,1069093.61119032,596
1618012260000,2021-04-09 23:51:00,BTC/USDT,58180.84000000,58181.39000000,58138.83000000,58163.09000000,36.00069200,2093841.61955826,976
1618012200000,2021-04-09 23:50:00,BTC/USDT,58156.37000000,58180.83000000,58151.02000000,58180.83000000,18.15176800,1055784.31130148,751
1618012140000,2021-04-09 23:49:00,BTC/USDT,58163.25000000,58163.26000000,58126.31000000,58156.37000000,26.90725500,1564518.71145781,800
1618012080000,2021-04-09 23:48:00,BTC/USDT,58134.90000000,58163.26000000,58132.48000000,58163.26000000,18.70468400,1087589.05563221,729
1618012020000,2021-04-09 23:47:00,BTC/USDT,58099.99000000,58134.94000000,58099.99000000,58134.91000000,17.86876000,1038578.59312041,797
1618011960000,2021-04-09 23:46:00,BTC/USDT,58090.73000000,58100.00000000,58089.06000000,58100.00000000,18.73611200,1088409.55521254,705
1618011900000,2021-04-09 23:45:00,BTC/USDT,58065.45000000,58090.73000000,58063.03000000,58090.73000000,10.64333200,618130.02961672,618
1618011840000,2021-04-09 23:44:00,BTC/USDT,58055.59000000,58068.06000000,58055.50000000,58065.45000000,6.85453200,397976.12476897,702
1618011780000,2021-04-09 23:43:00,BTC/USDT,58059.31000000,58081.34000000,58052.51000000,58055.02000000,16.71166800,970386.44234455,697
1618011720000,2021-04-09 23:42:00,BTC/USDT,58104.36000000,58109.82000000,58046.27000000,58055.91000000,23.09141400,1340911.06969494,731
1618011660000,2021-04-09 23:41:00,BTC/USDT,58098.15000000,58117.72000000,58089.60000000,58104.37000000,24.04037200,1396755.82130217,723
1618011600000,2021-04-09 23:40:00,BTC/USDT,58070.00000000,58098.16000000,58069.99000000,58098.15000000,15.63192500,907906.37964008,541
1618011540000,2021-04-09 23:39:00,BTC/USDT,58079.99000000,58100.00000000,58057.19000000,58070.00000000,22.49691400,1306540.47074055,899
1618011480000,2021-04-09 23:38:00,BTC/USDT,58030.58000000,58080.00000000,58029.33000000,58079.99000000,18.07284400,1049399.18793537,680
1618011420000,2021-04-09 23:37:00,BTC/USDT,58036.80000000,58037.23000000,58019.66000000,58030.58000000,27.16459900,1576314.90806825,602
1618011360000,2021-04-09 23:36:00,BTC/USDT,58013.22000000,58038.35000000,58008.44000000,58036.79000000,18.45472000,1070898.98273448,562
1618011300000,2021-04-09 23:35:00,BTC/USDT,58044.41000000,58044.42000000,57999.74000000,58013.23000000,19.00217600,1102316.82895470,738
1618011240000,2021-04-09 23:34:00,BTC/USDT,58008.64000000,58044.42000000,58008.64000000,58044.42000000,14.63496500,849226.55063107,669
1618011180000,2021-04-09 23:33:00,BTC/USDT,57992.78000000,58008.65000000,57973.79000000,58008.64000000,25.23942700,1463678.58079300,784
1618011120000,2021-04-09 23:32:00,BTC/USDT,57984.35000000,57998.88000000,57952.35000000,57992.78000000,21.12442700,1224751.52860856,881
1618011060000,2021-04-09 23:31:00,BTC/USDT,58041.58000000,58053.95000000,57982.78000000,57984.36000000,22.78086300,1321860.52031793,909
